Crack: Area, Depth, Side length
080000C-1-0: 0.006493145000000001, 0.05879491617033818, 0.1604240526493706
090000C-1-0: 0.036558825, 0.1795125095415687, 0.38839825513531084
100000C-1-0: 0.027628425, 0.11282402844717838, 0.31672711784670016
105000C-1-0: 0.016930550000000003, 0.11025536662226015, 0.26834005046674014
115000C-1-0: 0.026251655000000006, 0.11292695895240884, 0.2889160268481349
125000C-1-0: 0.02292136, 0.11542760656991932, 0.26565835308795405
135000C-1-0: 0.02254926, 0.11012787116137171, 0.2587877617102681
135000C-4-0: 0.0016558450000000002, 0.048126224388443155, 0.05121144898539072
135000C-7-0: 0.0036279750000000003, 0.033194262247655024, 0.1510158696829558
135000C-8-0: 0.009655995, 0.08190483337851338, 0.28842538296747927
145000C-1-0: 0.021749245000000004, 0.11099277556445745, 0.2663458581528931
145000C-4-0: 0.006325700000000001, 0.05001409022173793, 0.17361058365618037
145000C-7-0: 0.0028279600000000005, 0.06915116322433663, 0.053388576289807727
145000C-8-0: 0.021172490000000002, 0.13364142956625935, 0.24612916781514832
155000C-1-0: 0.006586170000000001, 0.06738280668620517, 0.17930039099103687
155000C-4-0: 0.004855905000000001, 0.0630756702744972, 0.11785701950007377
155000C-7-0: 0.0017302650000000001, 0.036748824414860826, 0.06524752968633575
155000C-8-0: 0.029042405, 0.09650097319635093, 0.4171050361436235
155000C-9-0: 0.001209325, 0.045665479435571, 0.03924697137293657
175000C-1-0: 0.023367880000000004, 0.10903578311919745, 0.2803016544199634
175000C-2-0: 0.009525760000000001, 0.08210166490224911, 0.21316057081535209
175000C-3-0: 0.00037210000000000005, 0.02052092968896819, 0.030675613252181304
175000C-4-0: 0.016521240000000003, 0.14456461373148358, 0.25777858351109856
175000C-7-0: 0.013451415000000001, 0.11373381996831408, 0.17836961776847107
175000C-8-0: 0.07442000000000001, 0.2030040815857486, 0.48465204324982253
175000C-9-0: 0.0013209550000000002, 0.03421016224735662, 0.05083848491625953
195000C-1-0: 0.030474990000000007, 0.1645324767468268, 0.3185372480528315
195000C-2-0: 0.019516645000000003, 0.10598836967272053, 0.2404053699719059
195000C-3-0: 0.0018977100000000004, 0.048712008267813675, 0.054212335244631746
195000C-4-0: 0.053991710000000005, 0.15067297224245121, 0.5148891274665152
195000C-6-0: 0.0036465800000000004, 0.040480150351228095, 0.1178952164004348
195000C-7-0: 0.033302950000000005, 0.13387997881671204, 0.380682652912829
195000C-8-0: 0.11149976500000003, 0.2904091957300653, 0.550969778547587
195000C-9-0: 0.0059163900000000005, 0.07901582905800225, 0.12621611691672946
215000C-1-0: 0.07724796, 0.2424371605999974, 0.43308284718400275
215000C-2-0: 0.09964838000000002, 0.2319291494346534, 0.6308943062051768
215000C-3-0: 0.009618785000000001, 0.09672027915710099, 0.18320915721485917
215000C-4-0: 0.25751180500000004, 0.3146021521625389, 1.195124753949257
215000C-5-0: 0.00100467, 0.060336525041524355, 0.04002774730244313
215000C-6-0: 0.030233125000000007, 0.1252295323230551, 0.3348416075398367
215000C-7-0: 0.059703445, 0.17168523952133763, 0.4739611095279532
215000C-8-0: 0.23946495500000003, 0.30613804595421307, 1.040566647642604
215000C-9-0: 0.001246535, 0.030547644434053594, 0.051429985257084435
225000C-1-0: 0.07642934000000001, 0.20500582944134854, 0.6803287518053268
225000C-2-0: 0.14712834000000002, 0.25035724247100033, 1.0201082218892454
225000C-3-0: 0.04708925500000001, 0.16525965422146813, 0.45862643509680967
225000C-4-0: 0.42609171000000007, 0.37897724963774876, 1.6284324310790768
225000C-5-0: 0.013451415000000001, 0.0837732077640268, 0.2898362204660849
225000C-6-0: 0.06258722000000001, 0.18608144750774827, 0.48982272038924174
225000C-7-0: 0.07583398000000001, 0.21730717130954139, 0.7050646674410466
225000C-8-0: 0.47485541500000006, 0.5048736825295543, 1.3650029220936326
225000C-9-0: 0.0024000450000000004, 0.04135268824766279, 0.11391790821570584
235000C-1-0: 0.168282225, 0.22757712097728372, 0.9942512116186675
235000C-2-0: 0.3829095050000001, 0.37609894993093806, 1.451692177936027
235000C-3-0: 0.07335951500000001, 0.1876568087753147, 0.5829484327884624
235000C-4-0: 0.585890055, 0.4042886245087189, 2.0693467716674045
235000C-5-0: 0.046084585000000004, 0.16005085242361689, 0.3806145176647882
235000C-6-0: 0.10655083500000001, 0.24476079161370004, 0.5524502197941638
235000C-7-0: 0.33366207000000003, 0.3747069433215519, 1.1985004392947087
235000C-8-0: 0.456473675, 0.4552888541206579, 1.5028270584451842
235000C-9-0: 0.0043349650000000005, 0.13254490159475532, 0.06572801884155244
245000C-1-0: 0.22087856000000003, 0.290323393580503, 0.9751718588511339
245000C-2-0: 0.6304862400000001, 0.43916551815790716, 1.9951710691233877
245000C-3-0: 0.07226182000000002, 0.19693066431467485, 0.561518334724691
245000C-4-0: 1.213046, 0.6246876579508365, 2.9118495996191602
245000C-5-0: 0.04413106000000001, 0.1702280368677997, 0.38957248563069524
245000C-6-0: 0.11959294000000001, 0.2584671769297362, 0.5820366047023015
245000C-7-0: 0.34130872500000003, 0.3698901349239881, 1.2505064505599173
245000C-8-0: 0.9916465000000001, 0.6645804157809804, 2.2659021235165175
245000C-9-0: 0.0016186350000000002, 0.07064018248368574, 0.06444996920718671
