556		
#1 11		
90000	19	29
100000	25	32
105000	29	32
110000	30	34
115000	31	35
120000	31	35
125000	31	35
130000	31	35
140000	31	35
150000	33	36
160000	34	36
#2 11		
90000	18	28
100000	19	29
105000	20	31
110000	21	31
115000	21	31
120000	21	33
125000	22	33
130000	22	33
140000	25	36
150000	25	36
160000	28	36
#3 5		
125000	23	45
130000	24	45
140000	25	46
150000	26	48
160000	26	48
#4 5		
125000	27	43
130000	27	43
140000	27	55
150000	35	55
160000	36	57
#5 4		
130000	20	42
140000	21	42
150000	23	44
160000	23	44
#6 11		
90000	32	93
100000	38	107
105000	42	110
110000	46	112
115000	48	113
120000	48	116
125000	49	125
130000	50	129
140000	55	133
150000	56	145
160000	62	149
#7 7		
115000	34	46
120000	36	48
125000	37	48
130000	38	51
140000	43	54
150000	48	86
160000	54	113
#8 5		
125000	26	58
130000	29	65
140000	33	83
150000	39	94
160000	49	108
#9 11		
90000	25	40
100000	28	42
105000	32	46
110000	34	49
115000	35	52
120000	36	54
125000	37	56
130000	37	60
140000	41	60
150000	48	79
160000	57	114
#10 12		
80000	27	47
90000	31	49
100000	33	54
105000	33	54
110000	34	60
115000	35	67
120000	35	67
125000	38	67
130000	39	69
140000	46	71
150000	54	82
160000	68	127
#11 6		
120000	31	52
125000	31	52
130000	32	52
140000	34	60
150000	44	67
160000	45	76
#12 5		
125000	28	32
130000	28	37
140000	31	41
150000	31	50
160000	38	62
#13 4		
130000	34	61
140000	36	64
150000	38	65
160000	40	67
#14 12		
80000	41	109
90000	48	129
100000	61	140
105000	65	152
110000	70	165
115000	76	166
120000	79	169
125000	82	177
130000	86	202
140000	100	250
150000	115	312
160000	152	393
#15 11		
90000	31	57
100000	32	60
105000	37	71
110000	39	71
115000	42	72
120000	42	74
125000	43	75
130000	45	91
140000	48	91
150000	49	92
160000	52	101
#16 11		
90000	28	54
100000	31	56
105000	37	57
110000	39	60
115000	40	68
120000	40	68
125000	40	70
130000	41	70
140000	44	70
150000	45	72
160000	45	72
#17 6		
120000	22	35
125000	24	35
130000	24	37
140000	24	37
150000	25	39
160000	27	39
#18 11		
90000	34	49
100000	36	68
105000	39	70
110000	40	70
115000	42	70
120000	43	70
125000	43	70
130000	44	77
140000	46	77
150000	46	79
160000	48	87
#19 5		
125000	39	38
130000	39	39
140000	46	53
150000	47	60
160000	52	89
#20 12		
80000	45	93
90000	48	95
100000	49	102
105000	49	107
110000	51	107
115000	53	110
120000	54	110
125000	54	112
130000	55	121
140000	57	130
150000	58	131
160000	69	175
#
