552		
#1 7		
80000	24	78
90000	29	88
91000	29	90
92000	30	92
95000	30	92
100000	32	100
105000	32	102
#2 7		
80000	23	100
90000	26	104
91000	34	112
92000	36	116
95000	37	120
100000	37	120
105000	40	128
#3 2		
100000	20	60
105000	27	73
#4 3		
95000	10	35
100000	13	46
105000	17	52
#5 7		
80000	46	286
90000	65	335
91000	70	337
92000	72	346
95000	88	368
100000	120	426
105000	146	460
#6 7		
80000	24	66
90000	30	104
91000	30	106
92000	33	106
95000	38	110
100000	51	162
105000	64	192
#7 3		
95000	22	64
100000	29	86
105000	38	120
#8 6		
90000	18	56
91000	18	58
92000	19	59
95000	26	61
100000	26	62
105000	32	68
#9 7		
80000	21	52
90000	26	70
91000	26	70
92000	28	71
95000	35	78
100000	36	82
105000	38	90
#10 6		
90000	28	64
91000	28	64
92000	28	76
95000	32	78
100000	37	85
105000	39	86
#11 7		
80000	28	66
90000	37	79
91000	38	99
92000	46	106
95000	50	110
100000	50	118
105000	58	118
#
