Crack: Area, Depth, Side length
080000C-1-0: 0.015442150000000003, 0.08043788616132931, 0.32737261126886746
090000C-1-0: 0.044038035, 0.1761348341163048, 0.3808762002904593
100000C-1-0: 0.06805709, 0.17086449893405145, 0.538358137185728
105000C-1-0: 0.11127650500000003, 0.2136389977415394, 0.7834971621537997
115000C-1-0: 0.13853283000000002, 0.2483716652330501, 0.886887752588333
125000C-1-0: 0.20441313500000002, 0.290848528715313, 0.9271220043631517
130000C-1-0: 0.20826437, 0.2950196456756331, 1.0912931643039232
135000C-1-0: 0.31779200500000004, 0.37133530982493546, 1.227918369528059
140000C-1-0: 0.4561015750000001, 0.47986742421882855, 1.3904708287126444
150000C-1-0: 0.7340230650000001, 0.5334878426467906, 1.9770436700257026
160000C-1-0: 1.7242927950000002, 0.688531134735342, 3.4835405999620663
